name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
A. Jerrold Perenchio,Perenchio,a-jerrold-perenchio,a-jerrold-perenchio,0,86,"television, Univision",Media & Entertainment,M,United States,"Founder & Owner, Chartwell Leisure",1488028803343,CA,California,2839.428,719,719,http://specials-images.forbesimg.com/imageserve/57e1245e4bbe6f6781c5289f/416x416.jpg?background=000000&cropX1=61&cropX2=686&cropY1=116&cropY2=741
Abdulla Al Futtaim,Al Futtaim,abdulla-al-futtaim,abdulla-al-futtaim,-5.426,,"auto dealers, investments",Automotive,M,United Arab Emirates,,1488028803343,,,4071.452,444,444,
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,,diversified,Diversified,M,United Arab Emirates,,1488028803343,,,6817.232,210,210,
Abdullah Al Rajhi & family,Al Rajhi,abdullah-al-rajhi,no-pic,0.002,,banking,Finance and Investments,M,Saudi Arabia,,1488028803344,,,1889.169,1122,1122,
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,72,automobiles,Automotive,M,India,,1488028803343,,,2000.889,1048,1048,http://specials-images.forbesimg.com/imageserve/57d88e824bbe6f6781c4f0d1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=139&cropY2=883
Abigail Johnson,Johnson,abigail-johnson,abigail-johnson,0,55,money management,Finance and Investments,F,United States,"President-CEO, Fidelity Investments",1488028803343,MA,Massachusetts,14495.547,77,77,http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621
Abilio dos Santos Diniz,Diniz,abilio-dos-santos-diniz,abilio-dos-santos-diniz,-13.95,80,retail,Fashion & Retail,M,Brazil,,1488028803343,,,3318.047,591,591,
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,57,air coolers,Manufacturing,M,India,,1488028803344,,,1307.418,1558,1558,
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,37,WeWork,Real Estate,M,Israel,,1488028803343,NY,New York,2500,837,837,
Adi Godrej,Godrej,adi-godrej,adi-godrej,0,74,consumer goods,Diversified,M,India,,1488028803343,,,2548.497,806,806,
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,46,cosmetics,Fashion & Retail,F,United States,,1488028803344,NY,New York,1561.233,1339,1339,
Ahmet Calik,Calik,ahmet-calik,ahmet-calik,0,58,"energy, banking, construction",Diversified,M,Turkey,,1488028803344,,,1415.408,1446,1446,
Ahmet Nazif Zorlu,Zorlu,ahmet-nazif-zorlu,ahmet-nazif-zorlu,-3.09,72,diversified,Diversified,M,Turkey,,1488028803344,,,1282.58,1582,1582,
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,54,"refinery, chemicals",Energy,M,Russia,,1488028803344,,,1111.565,1748,1748,
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,56,oil & gas,Energy,M,India,,1488028803344,,,1164.945,1695,1695,http://specials-images.forbesimg.com/imageserve/f1c1ff9778a03817c0d1e06535d75074/416x416.jpg?background=000000&cropX1=0&cropX2=372&cropY1=28&cropY2=400
Ajay Piramal,Piramal,ajay-piramal,ajay-piramal,0,61,pharmaceuticals,Healthcare,M,India,,1488028803343,,,3766.384,509,509,http://specials-images.forbesimg.com/imageserve/57d888f24bbe6f6781c4f091/416x416.jpg?background=000000&cropX1=122&cropX2=729&cropY1=142&cropY2=750
Akio Nitori,Nitori,akio-nitori,akio-nitori,-12.081,73,home furnishings,Fashion & Retail,M,Japan,,1488028803343,,,3167.684,628,628,
Akira Mori & family,Mori,akira-mori,akira-mori,0,80,real estate,Real Estate,M,Japan,,1488028803343,,,4439.914,392,392,
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,68,retail,Fashion & Retail,M,Canada,"Chairman and CEO, Alimentation Couche Tard Inc. Cl A",1488028803343,,,3236.601,609,609,
Alain Merieux & family,Merieux,alain-merieux,alain-merieux,-84.962,79,pharmaceuticals,Healthcare,M,France,,1488028803343,,,3905.05,468,468,
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,69,real estate,Real Estate,M,France,,1488028803344,,,1476.746,1404,1404,
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,68,Chanel,Fashion & Retail,M,France,,1488028803343,NY,New York,11749.655,113,113,
Alan Gerry,Gerry,alan-gerry,alan-gerry,0,87,cable television,Media & Entertainment,M,United States,,1488028803344,NY,New York,1490.44,1392,1392,
Alan Howard,Howard,alan-howard,alan-howard,0,53,hedge funds,Finance and Investments,M,United Kingdom,"Founder, Brevan Howard Asset Management",1488028803344,,,1440,1431,1431,
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,64,entertainment,Real Estate,M,Australia,,1488028803344,,,1026.564,1828,1828,
Albert Berner & family,Berner,albert-berner,albert-berner,0,81,fasteners,Manufacturing,M,Germany,,1488028803344,,,1486.391,1396,1396,
Albert Frere,Frere,albert-frere,albert-frere,0,91,investments,Finance and Investments,M,Belgium,,1488028803343,,,4892.365,340,340,
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,62,"refinery, chemicals",Diversified,M,Russia,,1488028803344,,,1050.303,1803,1803,
Albert Yeung,Yeung,albert-yeung,albert-yeung,-1.991,73,"real estate, retail",Diversified,M,Hong Kong,,1488028803344,,,1571.696,1331,1331,http://specials-images.forbesimg.com/imageserve/5877c8e14bbe6f1f20eacfbf/416x416.jpg?background=000000&cropX1=69&cropX2=634&cropY1=24&cropY2=590
Alberto Alcocer,Alcocer,alberto-alcocer,alberto-alcocer,-3.639,74,investments,Finance and Investments,M,Spain,,1488028803344,,,1201.423,1663,1663,
Alberto Bailleres Gonzalez & family,Bailleres Gonzalez,alberto-bailleres-gonzalez,alberto-bailleres-gonzalez,-247.533,85,mining,Metals & Mining,M,Mexico,,1488028803343,,,11118.324,120,120,
Alberto Cortina,Cortina,alberto-cortina,alberto-cortina,-3.639,71,investments,Finance and Investments,M,Spain,,1488028803344,,,1139.14,1720,1720,
