name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Abdulla bin Ahmad Al Ghurair & family,Al Ghurair,abdulla-bin-ahmad-al-ghurair,abdulla-bin-ahmad-al-ghurair,0,diversified,Diversified,M,United Arab Emirates,1488028203331,6817.232,210,210
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,automobiles,Automotive,M,India,1488028203331,2000.889,1048,1048
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,air coolers,Manufacturing,M,India,1488028203332,1307.418,1558,1558
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,WeWork,Real Estate,M,Israel,1488028203331,2500,837,837
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,cosmetics,Fashion & Retail,F,United States,1488028203332,1561.233,1339,1339
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,"refinery, chemicals",Energy,M,Russia,1488028203332,1111.565,1748,1748
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,oil & gas,Energy,M,India,1488028203332,1164.945,1695,1695
Ajay Piramal,Piramal,ajay-piramal,ajay-piramal,0,pharmaceuticals,Healthcare,M,India,1488028203331,3766.384,509,509
Akio Nitori,Nitori,akio-nitori,akio-nitori,-12.081,home furnishings,Fashion & Retail,M,Japan,1488028203331,3167.684,628,628
Alain Bouchard,Bouchard,alain-bouchard,alain-bouchard,-40.608,retail,Fashion & Retail,M,Canada,1488028203331,3236.601,609,609
Alain Taravella,Taravella,alain-taravella,alain-taravella,10.146,real estate,Real Estate,M,France,1488028203332,1476.746,1404,1404
Alain Wertheimer,Wertheimer,alain-wertheimer,alain-wertheimer,0,Chanel,Fashion & Retail,M,France,1488028203331,11749.655,113,113
Alan Howard,Howard,alan-howard,alan-howard,0,hedge funds,Finance and Investments,M,United Kingdom,1488028203332,1440,1431,1431
Alan Rydge,Rydge,alan-rydge,alan-rydge,12.861,entertainment,Real Estate,M,Australia,1488028203332,1026.564,1828,1828
Albert Berner & family,Berner,albert-berner,albert-berner,0,fasteners,Manufacturing,M,Germany,1488028203332,1486.391,1396,1396
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,"refinery, chemicals",Diversified,M,Russia,1488028203332,1050.303,1803,1803
Albert Yeung,Yeung,albert-yeung,albert-yeung,-1.991,"real estate, retail",Diversified,M,Hong Kong,1488028203332,1571.696,1331,1331
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,luxury goods,Fashion & Retail,M,Italy,1488028203332,1342.986,1515,1515
Alberto Roemmers,Roemmers,alberto-roemmers,no-pic,0,pharmaceuticals,Healthcare,M,Argentina,1488028203331,2032.049,1032,1032
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,shoes,Fashion & Retail,M,Canada,1488028203332,1004.172,1845,1845
Alejandro Bulgheroni,Bulgheroni,alejandro-bulgheroni,no-pic,0,oil & gas,Energy,M,Argentina,1488028203331,3323.83,590,590
