name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Abhay Firodia,Firodia,abhay-firodia,abhay-firodia,-0.001,72,automobiles,Automotive,M,India,1488028203331,2000.889,1048,1048,http://specials-images.forbesimg.com/imageserve/57d88e824bbe6f6781c4f0d1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=139&cropY2=883
Achal Bakeri,Bakeri,achal-bakeri,achal-bakeri,0,57,air coolers,Manufacturing,M,India,1488028203332,1307.418,1558,1558,
Adam Neumann,Neumann,adam-neumann,adam-neumann,0,37,WeWork,Real Estate,M,Israel,1488028203331,2500,837,837,
Albert Berner & family,Berner,albert-berner,albert-berner,0,81,fasteners,Manufacturing,M,Germany,1488028203332,1486.391,1396,1396,
Alberto Prada,Prada,alberto-prada,no-pic,-7.923,,luxury goods,Fashion & Retail,M,Italy,1488028203332,1342.986,1515,1515,
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,0,78,shoes,Fashion & Retail,M,Canada,1488028203332,1004.172,1845,1845,
Alexander Karp,Karp,alexander-karp,alexander-karp,0,49,software firm,Technology,M,United States,1488028203332,1600,1300,1300,http://specials-images.forbesimg.com/imageserve/5706c3e1e4b01d5c586fec75/416x416.jpg?background=000000&cropX1=61&cropX2=520&cropY1=44&cropY2=503
Alexandra Andresen,Andresen,alexandra-andresen,no-pic-female,0,20,investments,Diversified,F,Norway,1488028203332,1216.919,1642,1642,
Alexandra Daitch,Daitch,alexandra-daitch,no-pic-female,0,54,Cargill,Food and Beverage,F,United States,1488028203332,1872.849,1131,1131,
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,58,real estate,Real Estate,F,Germany,1488028203331,3493.677,558,558,
Alfred Gantner,Gantner,alfred-gantner,no-pic,-13.295,48,private equity,Finance and Investments,M,Switzerland,1488028203332,1823.963,1166,1166,
Allan Goldman,Goldman,allan-goldman,no-pic,0,73,real estate,Real Estate,M,United States,1488028203331,3027.465,668,668,
