name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Airat Shaimiev,Shaimiev,airat-shaimiev,airat-shaimiev,5.876,54,"refinery, chemicals",Energy,M,Russia,1488028203332,1111.565,1748,1748
Ajay Kalsi,Kalsi,ajay-kalsi,ajay-kalsi,-20.876,56,oil & gas,Energy,M,India,1488028203332,1164.945,1695,1695
Albert Shigaboutdinov,Shigaboutdinov,albert-shigaboutdinov,albert-shigaboutdinov,5.997,62,"refinery, chemicals",Diversified,M,Russia,1488028203332,1050.303,1803,1803
Alberto Cortina,Cortina,alberto-cortina,alberto-cortina,-3.639,71,investments,Finance and Investments,M,Spain,1488028203332,1139.14,1720,1720
Alex Beard,Beard,alex-beard,alex-beard,-15.102,49,"mining, commodities",Metals & Mining,M,United Kingdom,1488028203332,1504.534,1379,1379
Alexandra Schoerghuber,Schoerghuber,alexandra-schoerghuber,no-pic-female,0,58,real estate,Real Estate,F,Germany,1488028203331,3493.677,558,558
Alexei Bogachev,Bogachev,alexei-bogachev,alexei-bogachev,-13.92,46,"retail, banking",Diversified,M,Russia,1488028203332,1012.9,1839,1839
Allan Goldman,Goldman,allan-goldman,no-pic,0,73,real estate,Real Estate,M,United States,1488028203331,3027.465,668,668
Aloke Lohia,Lohia,aloke-lohia,aloke-lohia,34.253,58,petrochemicals,Manufacturing,M,India,1488028203332,1697.848,1238,1238
Amy Goldman Fowler,Goldman Fowler,amy-goldman-fowler,no-pic-female,0,62,real estate,Real Estate,F,United States,1488028203331,3046.4,662,662
Ana Lucia de Mattos Barretto Villela,de Mattos Barretto Villela,ana-lucia-de-mattos-barretto-villela,no-pic-female,-17.244,43,banking,Finance and Investments,F,Brazil,1488028203332,1745.63,1220,1220
Ana Maria Marcondes Penido Sant'Anna,Marcondes Penido Sant'Anna,ana-maria-marcondes-penido-santanna,no-pic-female,6.193,61,toll roads,Construction & Engineering,F,Brazil,1488028203332,1484.775,1397,1397
